Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-01-02,GOOG,67.077499,68.406998,67.077499,68.3685,68.290787,28132000
2020-01-02,MSFT,158.779999,160.729996,158.330002,160.619995,154.215698,22622100
2020-01-02,ORCL,53.27,53.959999,53.23,53.950001,50.055779,13899600
2020-01-03,GOOG,67.392998,68.625,67.277199,68.032997,67.955666,23728000
2020-01-03,MSFT,158.320007,159.949997,158.059998,158.619995,152.295425,21116200
2020-01-03,ORCL,52.990002,54.049999,52.950001,53.759998,49.879494,11026700
2020-01-06,GOOG,67.5,69.824997,67.5,69.710503,69.631264,34646000
2020-01-06,MSFT,157.080002,159.100006,156.509995,159.029999,152.689072,20813700
2020-01-06,ORCL,53.360001,54.200001,53.349998,54.040001,50.139286,10982400
2020-01-07,GOOG,69.897003,70.149498,69.518997,69.667,69.587814,30054000
2020-01-07,MSFT,159.320007,159.669998,157.320007,157.580002,151.29686,21634100
2020-01-07,ORCL,53.889999,54.330002,53.610001,54.16,50.250614,12015400
2020-01-08,MSFT,158.929993,160.800003,157.949997,160.089996,153.706818,27746500
2020-01-08,ORCL,53.939999,54.599998,53.700001,54.130001,50.446339,11856700
2020-01-08,GOOG,69.603996,70.579002,69.542,70.216003,70.136192,30560000
2020-01-09,ORCL,54.25,54.799999,54.029999,54.380001,50.679314,10671000
2020-01-09,GOOG,71.028503,71.366501,70.513496,70.991501,70.910805,30018000
2020-01-09,MSFT,161.839996,162.220001,161.029999,162.089996,155.627014,21385000
2020-01-10,ORCL,54.549999,54.650002,54.220001,54.450001,50.744553,9734800
2020-01-10,GOOG,71.377998,71.746452,70.917503,71.486504,71.405251,36414000
2020-01-10,MSFT,162.820007,163.220001,161.179993,161.339996,154.906982,20725900
2020-01-13,ORCL,54.459999,54.790001,54.360001,54.580002,50.865715,10858900
2020-01-13,GOOG,71.806503,72.026001,71.301003,71.961502,71.879707,33046000
2020-01-13,MSFT,161.759995,163.309998,161.259995,163.279999,156.769608,21626500
2020-01-14,ORCL,54.52,55.18,54.5,54.880001,51.145287,12627200
2020-01-14,MSFT,163.389999,163.600006,161.720001,162.130005,155.665451,23477400
2020-01-14,GOOG,71.9505,72.089996,71.418503,71.543999,71.462677,31178000
2020-01-15,MSFT,162.619995,163.940002,162.570007,163.179993,156.673599,21417900
2020-01-15,ORCL,54.880001,55.18,54.68,54.759998,51.033455,9090800
2020-01-15,GOOG,71.510498,72.069748,71.510498,71.959999,71.878204,25654000
2020-01-16,MSFT,164.350006,166.240005,164.029999,166.169998,159.544403,23865400
2020-01-16,ORCL,54.98,55.450001,54.93,55.43,51.657864,9866000
2020-01-16,GOOG,72.372002,72.599503,72.045998,72.584999,72.502495,23474000
2020-01-17,MSFT,167.419998,167.470001,165.429993,167.100006,160.437317,34371700
2020-01-17,ORCL,55.630001,55.689999,54.849998,55.130001,51.378288,11166600
2020-01-17,GOOG,73.1455,74.064751,72.911003,74.019501,73.935364,47924000
2020-01-21,ORCL,54.98,55.360001,54.919998,55.220001,51.462151,8773000
2020-01-21,GOOG,73.956001,74.592499,73.559998,74.220001,74.135635,40734000
2020-01-21,MSFT,166.679993,168.190002,166.429993,166.5,159.861221,29517200
2020-01-22,GOOG,74.550003,75.160698,74.246498,74.297501,74.213051,32216000
2020-01-22,MSFT,167.399994,167.490005,165.679993,165.699997,159.093124,24138800
2020-01-22,ORCL,55.41,55.650002,54.599998,54.720001,50.996181,6380500
